date,store,is_state_holiday,is_school_holiday,is_special_day,temperature_max,temperature_min,temperature_mean,sunshine_sum,precipitation_sum,sales,unsold,ordered
2021-08-02,store_5,normal_day,school_holiday,normal_day,21.8,16.3,19.59090909090909,203,0.0,1.4327476970685655,,
2021-08-02,store_8,normal_day,school_holiday,normal_day,21.8,16.3,19.59090909090909,203,0.0,1.2531925968069404,,
2021-08-02,store_7,normal_day,school_holiday,normal_day,21.8,16.3,19.59090909090909,203,0.0,0.9850258886239939,,
2021-08-02,store_4,normal_day,school_holiday,normal_day,21.8,16.3,19.59090909090909,203,0.0,0.889418627445726,,
2021-08-02,store_1,normal_day,school_holiday,normal_day,21.8,16.3,19.59090909090909,203,0.0,0.5722823464641544,,
2021-08-03,store_8,normal_day,school_holiday,normal_day,22.3,18.7,20.945454545454545,162,0.0,0.8381171702281188,,
2021-08-03,store_7,normal_day,school_holiday,normal_day,22.3,18.7,20.945454545454545,162,0.0,0.7471736778878152,,
2021-08-03,store_4,normal_day,school_holiday,normal_day,22.3,18.7,20.945454545454545,162,0.0,0.856772245579976,,
2021-08-03,store_1,normal_day,school_holiday,normal_day,22.3,18.7,20.945454545454545,162,0.0,0.22249968361683278,,
2021-08-03,store_5,normal_day,school_holiday,normal_day,22.3,18.7,20.945454545454545,162,0.0,1.1692447577235834,,
2021-08-04,store_8,normal_day,school_holiday,normal_day,22.4,17.1,20.654545454545453,184,0.0,1.1202751849249584,,
2021-08-04,store_5,normal_day,school_holiday,normal_day,22.4,17.1,20.654545454545453,184,0.0,1.0876288030592083,,
2021-08-04,store_4,normal_day,school_holiday,normal_day,22.4,17.1,20.654545454545453,184,0.0,0.856772245579976,,
2021-08-04,store_1,normal_day,school_holiday,normal_day,22.4,17.1,20.654545454545453,184,0.0,0.8031389039433867,,
2021-08-04,store_7,normal_day,school_holiday,normal_day,22.4,17.1,20.654545454545453,184,0.0,1.1715766421425655,,
2021-08-05,store_7,normal_day,school_holiday,normal_day,23.7,16.4,20.763636363636365,90,0.4,0.695872220670208,,
2021-08-05,store_1,normal_day,school_holiday,normal_day,23.7,16.4,20.763636363636365,90,0.4,0.3927272462025293,,
2021-08-05,store_4,normal_day,school_holiday,normal_day,23.7,16.4,20.763636363636365,90,0.4,0.4976620450567258,,
2021-08-05,store_5,normal_day,school_holiday,normal_day,23.7,16.4,20.763636363636365,90,0.4,1.3231491293764048,,
2021-08-05,store_8,normal_day,school_holiday,normal_day,23.7,16.4,20.763636363636365,90,0.4,1.2578563656449047,,
2021-08-06,store_5,normal_day,school_holiday,normal_day,25.9,17.5,22.245454545454546,300,5.6,0.8707635520938688,,
2021-08-06,store_8,normal_day,school_holiday,normal_day,25.9,17.5,22.245454545454546,300,5.6,1.2485288279689761,,
2021-08-06,store_4,normal_day,school_holiday,normal_day,25.9,17.5,22.245454545454546,300,5.6,1.1272708381819048,,
2021-08-06,store_1,normal_day,school_holiday,normal_day,25.9,17.5,22.245454545454546,300,5.6,0.39972289945947576,,
2021-08-06,store_7,normal_day,school_holiday,normal_day,25.9,17.5,22.245454545454546,300,5.6,1.0736374965453155,,
2021-08-07,store_8,normal_day,normal_day,normal_day,24.6,17.4,22.70909090909091,159,3.9,2.293213047672977,,
2021-08-07,store_5,normal_day,normal_day,normal_day,24.6,17.4,22.70909090909091,159,3.9,1.407096968459762,,
2021-08-07,store_4,normal_day,normal_day,normal_day,24.6,17.4,22.70909090909091,159,3.9,1.8897970431890658,,
2021-08-07,store_1,normal_day,normal_day,normal_day,24.6,17.4,22.70909090909091,159,3.9,1.3487998579852083,,
2021-08-07,store_7,normal_day,normal_day,normal_day,24.6,17.4,22.70909090909091,159,3.9,1.2648520189018513,,
2021-08-08,store_1,normal_day,normal_day,normal_day,23.9,15.8,21.61818181818182,239,0.4,1.5796564154644406,,
2021-08-08,store_7,normal_day,normal_day,normal_day,23.9,15.8,21.61818181818182,239,0.4,1.9690811134344588,,
2021-08-08,store_5,normal_day,normal_day,normal_day,23.9,15.8,21.61818181818182,239,0.4,1.5120317673139585,,
2021-08-08,store_8,normal_day,normal_day,normal_day,23.9,15.8,21.61818181818182,239,0.4,2.624340635168441,,
2021-08-08,store_4,normal_day,normal_day,normal_day,23.9,15.8,21.61818181818182,239,0.4,2.3561739269854947,,
2021-08-09,store_8,normal_day,normal_day,normal_day,23.4,16.1,21.009090909090908,169,2.7,1.3814462398509584,,
2021-08-09,store_5,normal_day,normal_day,normal_day,23.4,16.1,21.009090909090908,169,2.7,0.9756983509480653,,
2021-08-09,store_4,normal_day,normal_day,normal_day,23.4,16.1,21.009090909090908,169,2.7,0.4696794320289401,,
2021-08-09,store_7,normal_day,normal_day,normal_day,23.4,16.1,21.009090909090908,169,2.7,0.7401780246308688,,
2021-08-09,store_1,normal_day,normal_day,normal_day,23.4,16.1,21.009090909090908,169,2.7,0.3973910150404936,,
2021-08-10,store_1,normal_day,normal_day,normal_day,23.9,16.6,21.263636363636365,160,0.2,0.2015127238459935,,
2021-08-10,store_5,normal_day,normal_day,normal_day,23.9,16.6,21.263636363636365,160,0.2,0.9080737027975831,,
2021-08-10,store_4,normal_day,normal_day,normal_day,23.9,16.6,21.263636363636365,160,0.2,0.5559591555312794,,
2021-08-10,store_7,normal_day,normal_day,normal_day,23.9,16.6,21.263636363636365,160,0.2,0.09191415615383272,,
2021-08-10,store_8,normal_day,normal_day,normal_day,23.9,16.6,21.263636363636365,160,0.2,0.9127374716355474,,
2021-08-11,store_4,normal_day,normal_day,normal_day,22.7,16.7,21.099999999999998,329,0.0,0.03361704567927912,,
2021-08-11,store_5,normal_day,normal_day,normal_day,22.7,16.7,21.099999999999998,329,0.0,0.2691373719964757,,
2021-08-11,store_8,normal_day,normal_day,normal_day,22.7,16.7,21.099999999999998,329,0.0,-0.010688758281381624,,
2021-08-11,store_7,normal_day,normal_day,normal_day,22.7,16.7,21.099999999999998,329,0.0,0.12456053801958274,,
2021-08-11,store_1,normal_day,normal_day,normal_day,22.7,16.7,21.099999999999998,329,0.0,-0.10862790387863168,,
2021-08-12,store_5,normal_day,normal_day,normal_day,27.5,21.5,25.39090909090909,399,0.0,0.8800910897697974,,
2021-08-12,store_1,normal_day,normal_day,normal_day,27.5,21.5,25.39090909090909,399,0.0,0.4347011657442079,,
2021-08-12,store_4,normal_day,normal_day,normal_day,27.5,21.5,25.39090909090909,399,0.0,0.6445707634526009,,
2021-08-12,store_8,normal_day,normal_day,normal_day,27.5,21.5,25.39090909090909,399,0.0,0.9174012404735117,,
2021-08-12,store_7,normal_day,normal_day,normal_day,27.5,21.5,25.39090909090909,399,0.0,0.873095436512851,,
2021-08-13,store_1,normal_day,normal_day,normal_day,29.6,25.2,28.19090909090909,335,0.0,0.257477949901565,,
2021-08-13,store_4,normal_day,normal_day,normal_day,29.6,25.2,28.19090909090909,335,0.0,0.807802672781351,,
2021-08-13,store_7,normal_day,normal_day,normal_day,29.6,25.2,28.19090909090909,335,0.0,0.45568812551504717,,
2021-08-13,store_8,normal_day,normal_day,normal_day,29.6,25.2,28.19090909090909,335,0.0,0.9687026976911189,,
2021-08-13,store_5,normal_day,normal_day,normal_day,29.6,25.2,28.19090909090909,335,0.0,0.6259156881007437,,
2021-08-14,store_7,normal_day,normal_day,normal_day,27.5,21.2,25.154545454545453,467,0.0,1.892128927608048,,
2021-08-14,store_4,normal_day,normal_day,normal_day,27.5,21.2,25.154545454545453,467,0.0,1.5306868426658156,,
2021-08-14,store_1,normal_day,normal_day,normal_day,27.5,21.2,25.154545454545453,467,0.0,1.0899606874781904,,
2021-08-14,store_8,normal_day,normal_day,normal_day,27.5,21.2,25.154545454545453,467,0.0,1.0899606874781904,,
2021-08-14,store_5,normal_day,normal_day,normal_day,27.5,21.2,25.154545454545453,467,0.0,1.2881708630916726,,
2021-08-15,store_8,normal_day,normal_day,normal_day,26.4,20.8,24.218181818181815,296,0.0,2.2349159371984233,,
2021-08-15,store_4,normal_day,normal_day,normal_day,26.4,20.8,24.218181818181815,296,0.0,1.9760767666914052,,
2021-08-15,store_7,normal_day,normal_day,normal_day,26.4,20.8,24.218181818181815,296,0.0,1.5400143803417443,,
2021-08-15,store_1,normal_day,normal_day,normal_day,26.4,20.8,24.218181818181815,296,0.0,1.7195694806033692,,
2021-08-15,store_5,normal_day,normal_day,normal_day,26.4,20.8,24.218181818181815,296,0.0,0.7168591804410474,,
2021-08-16,store_1,normal_day,normal_day,normal_day,24.1,13.5,19.21818181818182,137,1.8,0.3927272462025293,,
2021-08-16,store_5,normal_day,normal_day,normal_day,24.1,13.5,19.21818181818182,137,1.8,0.9477157379202796,,
2021-08-16,store_7,normal_day,normal_day,normal_day,24.1,13.5,19.21818181818182,137,1.8,0.4696794320289401,,
2021-08-16,store_4,normal_day,normal_day,normal_day,24.1,13.5,19.21818181818182,137,1.8,0.49533016063774366,,
2021-08-16,store_8,normal_day,normal_day,normal_day,24.1,13.5,19.21818181818182,137,1.8,1.0246679237466905,,
2021-08-17,store_1,normal_day,normal_day,normal_day,18.1,14.6,16.654545454545456,7,0.4,0.7378461402118867,,
2021-08-17,store_4,normal_day,normal_day,normal_day,18.1,14.6,16.654545454545456,7,0.4,0.6562301855475116,,
2021-08-17,store_7,normal_day,normal_day,normal_day,18.1,14.6,16.654545454545456,7,0.4,0.8124664416193152,,
2021-08-17,store_8,normal_day,normal_day,normal_day,18.1,14.6,16.654545454545456,7,0.4,1.30682593844353,,
2021-08-17,store_5,normal_day,normal_day,normal_day,18.1,14.6,16.654545454545456,7,0.4,0.8987461651216546,,
2021-08-18,store_8,normal_day,normal_day,normal_day,20.0,18.5,19.19090909090909,59,0.0,1.5423462647607264,,
2021-08-18,store_7,normal_day,normal_day,normal_day,20.0,18.5,19.19090909090909,59,0.0,1.0456548835175297,,
2021-08-18,store_5,normal_day,normal_day,normal_day,20.0,18.5,19.19090909090909,59,0.0,1.2555244812259225,,
2021-08-18,store_4,normal_day,normal_day,normal_day,20.0,18.5,19.19090909090909,59,0.0,1.001349079556869,,
2021-08-18,store_1,normal_day,normal_day,normal_day,20.0,18.5,19.19090909090909,59,0.0,0.5676185776261902,,
2021-08-19,store_1,normal_day,normal_day,normal_day,22.4,18.6,20.254545454545454,79,0.0,0.18285764849413633,,
2021-08-19,store_5,normal_day,normal_day,normal_day,22.4,18.6,20.254545454545454,79,0.0,1.1062838784110653,,
2021-08-19,store_8,normal_day,normal_day,normal_day,22.4,18.6,20.254545454545454,79,0.0,1.2485288279689761,,
2021-08-19,store_4,normal_day,normal_day,normal_day,22.4,18.6,20.254545454545454,79,0.0,0.758833099982726,,
2021-08-19,store_7,normal_day,normal_day,normal_day,22.4,18.6,20.254545454545454,79,0.0,1.0643099588693867,,
2021-08-20,store_8,normal_day,normal_day,normal_day,20.8,17.8,19.59090909090909,191,0.0,1.76387528456403,,
2021-08-20,store_4,normal_day,normal_day,normal_day,20.8,17.8,19.59090909090909,191,0.0,1.3044940540245475,,
2021-08-20,store_1,normal_day,normal_day,normal_day,20.8,17.8,19.59090909090909,191,0.0,0.8637678988369224,,
2021-08-20,store_5,normal_day,normal_day,normal_day,20.8,17.8,19.59090909090909,191,0.0,1.2182143305222084,,
2021-08-20,store_7,normal_day,normal_day,normal_day,20.8,17.8,19.59090909090909,191,0.0,0.8591041299989581,,
2021-08-21,store_1,normal_day,normal_day,normal_day,23.1,18.4,21.400000000000002,123,0.0,1.5166955361519228,,
2021-08-21,store_7,normal_day,normal_day,normal_day,23.1,18.4,21.400000000000002,123,0.0,1.2974984007676011,,
2021-08-21,store_5,normal_day,normal_day,normal_day,23.1,18.4,21.400000000000002,123,0.0,1.7219013650223514,,
2021-08-21,store_4,normal_day,normal_day,normal_day,23.1,18.4,21.400000000000002,123,0.0,1.910784002959905,,
2021-08-21,store_8,normal_day,normal_day,normal_day,23.1,18.4,21.400000000000002,123,0.0,1.7592115157260657,,
2021-08-22,store_8,normal_day,normal_day,normal_day,21.4,17.5,18.8,6,3.3,2.2419115904553695,,
2021-08-22,store_1,normal_day,normal_day,normal_day,21.4,17.5,18.8,6,3.3,1.488712923124137,,
2021-08-22,store_5,normal_day,normal_day,normal_day,21.4,17.5,18.8,6,3.3,0.8334534013901546,,
2021-08-22,store_4,normal_day,normal_day,normal_day,21.4,17.5,18.8,6,3.3,2.134644907182191,,
2021-08-22,store_7,normal_day,normal_day,normal_day,21.4,17.5,18.8,6,3.3,1.4840491542861727,,
2021-08-23,store_7,normal_day,normal_day,normal_day,19.2,14.8,17.2,68,0.30000000000000004,0.4929982762187615,,
2021-08-23,store_4,normal_day,normal_day,normal_day,19.2,14.8,17.2,68,0.30000000000000004,0.6049287283299044,,
2021-08-23,store_1,normal_day,normal_day,normal_day,19.2,14.8,17.2,68,0.30000000000000004,0.23182722129276137,,
2021-08-23,store_5,normal_day,normal_day,normal_day,19.2,14.8,17.2,68,0.30000000000000004,0.9500476223392618,,
2021-08-23,store_8,normal_day,normal_day,normal_day,19.2,14.8,17.2,68,0.30000000000000004,1.3861100086889226,,
2021-08-24,store_1,normal_day,normal_day,normal_day,21.3,13.7,18.845454545454547,347,0.0,0.39505913062151143,,
2021-08-24,store_5,normal_day,normal_day,normal_day,21.3,13.7,18.845454545454547,347,0.0,0.7121954116030831,,
2021-08-24,store_4,normal_day,normal_day,normal_day,21.3,13.7,18.845454545454547,347,0.0,0.6562301855475116,,
2021-08-24,store_7,normal_day,normal_day,normal_day,21.3,13.7,18.845454545454547,347,0.0,0.42770551248726146,,
2021-08-24,store_8,normal_day,normal_day,normal_day,21.3,13.7,18.845454545454547,347,0.0,1.1179433005059762,,
2021-08-25,store_1,normal_day,normal_day,normal_day,21.7,15.0,18.900000000000002,186,3.1,0.2807967940913864,,
2021-08-25,store_8,normal_day,normal_day,normal_day,21.7,15.0,18.900000000000002,186,3.1,1.0130085016517796,,
2021-08-25,store_4,normal_day,normal_day,normal_day,21.7,15.0,18.900000000000002,186,3.1,0.6562301855475116,,
2021-08-25,store_5,normal_day,normal_day,normal_day,21.7,15.0,18.900000000000002,186,3.1,1.0619780744504046,,
2021-08-25,store_7,normal_day,normal_day,normal_day,21.7,15.0,18.900000000000002,186,3.1,0.7471736778878152,,
2021-08-26,store_5,normal_day,normal_day,normal_day,16.5,12.9,14.9,48,6.0,1.099288225154119,,
2021-08-26,store_8,normal_day,normal_day,normal_day,16.5,12.9,14.9,48,6.0,1.3348085514713155,,
2021-08-26,store_1,normal_day,normal_day,normal_day,16.5,12.9,14.9,48,6.0,0.4626837787719936,,
2021-08-26,store_7,normal_day,normal_day,normal_day,16.5,12.9,14.9,48,6.0,0.9756983509480653,,
2021-08-26,store_4,normal_day,normal_day,normal_day,16.5,12.9,14.9,48,6.0,0.9617070444341724,,
